exp_id	description	target	mae	rmse	r2	prior	decision	notes
P25_042	gloss_60: xgb depth sweep d=8	gloss_60	9.9944	13.1933	0.7262	0.25	REVERT	family=xgboost feats=2
P25_043	gloss_60: xgb depth sweep d=10	gloss_60	10.0407	13.1937	0.7262	0.20	REVERT	family=xgboost feats=2
P25_044	hiding_power_pct: ExtraTrees max_features=sqrt	hiding_power_pct	2.2340	3.6933	0.6507	0.30	REVERT	family=extratrees feats=1
P25_045	hiding_power_pct: ExtraTrees max_features=log2	hiding_power_pct	2.2340	3.6933	0.6507	0.30	REVERT	family=extratrees feats=1
P25_046	hiding_power_pct: ExtraTrees max_features=0.5	hiding_power_pct	2.1866	3.6226	0.6639	0.30	KEEP	family=extratrees feats=1
P25_047	hiding_power_pct: ExtraTrees max_features=0.8	hiding_power_pct	2.2283	3.6407	0.6605	0.30	REVERT	family=extratrees feats=1
P25_048	hiding_power_pct: ExtraTrees max_features=1.0	hiding_power_pct	2.2635	3.6809	0.6530	0.30	REVERT	family=extratrees feats=1
P25_049	cupping_mm: ExtraTrees max_features=sqrt	cupping_mm	1.7357	2.3636	0.6637	0.30	REVERT	family=extratrees feats=1
P25_050	cupping_mm: ExtraTrees max_features=log2	cupping_mm	1.7357	2.3636	0.6637	0.30	REVERT	family=extratrees feats=1
P25_051	cupping_mm: ExtraTrees max_features=0.5	cupping_mm	1.5916	2.2401	0.6979	0.30	REVERT	family=extratrees feats=1
P25_052	cupping_mm: ExtraTrees max_features=0.8	cupping_mm	1.5376	2.1859	0.7124	0.30	REVERT	family=extratrees feats=1
P25_053	cupping_mm: ExtraTrees max_features=1.0	cupping_mm	1.5499	2.2182	0.7038	0.30	REVERT	family=extratrees feats=1
P25_054	scratch_hardness_N: Ridge alpha=0.01	scratch_hardness_N	1.8037	2.3479	0.2123	0.30	REVERT	family=ridge feats=1
P25_055	scratch_hardness_N: Ridge alpha=0.1	scratch_hardness_N	1.8033	2.3466	0.2132	0.40	REVERT	family=ridge feats=1
P25_056	scratch_hardness_N: Ridge alpha=0.5	scratch_hardness_N	1.8016	2.3411	0.2168	0.45	REVERT	family=ridge feats=1
P25_057	scratch_hardness_N: Ridge alpha=2.0	scratch_hardness_N	1.7952	2.3258	0.2270	0.35	REVERT	family=ridge feats=1
P25_058	scratch_hardness_N: Ridge alpha=5.0	scratch_hardness_N	1.7886	2.3085	0.2385	0.30	REVERT	family=ridge feats=1
P25_059	scratch_hardness_N: Ridge alpha=10.0	scratch_hardness_N	1.7822	2.2974	0.2458	0.25	REVERT	family=ridge feats=1
P25_060	scratch_hardness_N: kitchen sink 7 physics features	scratch_hardness_N	1.8221	2.3267	0.2265	0.30	REVERT	family=ridge feats=7
P25_061	gloss_60: kitchen sink 7 physics features	gloss_60	10.5173	13.5141	0.7128	0.30	REVERT	family=xgboost feats=7
P25_062	hiding_power_pct: kitchen sink 7 physics features	hiding_power_pct	2.3202	3.7467	0.6405	0.30	REVERT	family=extratrees feats=7
P25_063	cupping_mm: kitchen sink 7 physics features	cupping_mm	1.6775	2.3597	0.6648	0.30	REVERT	family=extratrees feats=7
GP_BASELINE	Published Zenodo GP baseline (RBF+DotProduct+WhiteKernel)	scratch_hardness_N	1.8440	2.4535	0.1434	1.00	BASELINE	family=gp published_ref
GP_BASELINE	Published Zenodo GP baseline (RBF+DotProduct+WhiteKernel)	gloss_60	11.4980	14.2840	0.6790	1.00	BASELINE	family=gp published_ref
GP_BASELINE	Published Zenodo GP baseline (RBF+DotProduct+WhiteKernel)	hiding_power_pct	2.8410	4.7810	0.4160	1.00	BASELINE	family=gp published_ref
GP_BASELINE	Published Zenodo GP baseline (RBF+DotProduct+WhiteKernel)	cupping_mm	2.1090	2.7530	0.5400	1.00	BASELINE	family=gp published_ref
