id,authors,year,title,venue,url,tag,key_finding_1sentence
102,Howell S T Niessner M & Yermack D,2020,Initial Coin Offerings: Financing Growth with Cryptocurrency Token Sales,Review of Financial Studies 33(9) 3925-3974,https://doi.org/10.1093/rfs/hhz131,alt-finance,ICO market offers non-VC funding path; relevant to tech-sector control pool construction.
103,Kahl M Shivdasani A & Wang Y,2015,Short-Term Debt as Bridge Financing: Evidence from the Commercial Paper Market,Journal of Finance 70(1) 211-255,https://doi.org/10.1111/jofi.12216,alt-finance,Short-term debt substitutes when equity markets cold; covariate for raise timing.
104,Ewens M & Farre-Mensa J,2022,Private or Public Equity? The Evolving Entrepreneurial Finance Landscape,Annual Review of Financial Economics 14 271-293,https://doi.org/10.1146/annurev-financial-011622-103556,late-stage-capital,Review of private vs public market substitution; startups stay private 2x longer post-NSMIA.
105,Rosenbaum P R,1987,Sensitivity Analysis for Certain Permutation Inferences in Matched Observational Studies,Biometrika 74(1) 13-26,https://doi.org/10.1093/biomet/74.1.13,methods-sensitivity,Introduces Rosenbaum Gamma; quantifies how strong an unobserved confounder would need to be to overturn a matched inference.
106,Cornfield J et al.,1959,Smoking and lung cancer: recent evidence and a discussion of some questions,Journal of the National Cancer Institute 22 173-203,https://doi.org/10.1093/jnci/22.1.173,methods-sensitivity,Classical Cornfield bound on unobserved confounding; precursor to Rosenbaum Gamma.
107,VanderWeele T J & Ding P,2017,Sensitivity Analysis in Observational Research: Introducing the E-value,Annals of Internal Medicine 167(4) 268-274,https://doi.org/10.7326/M16-2607,methods-sensitivity,E-value summarises confounding strength needed to explain away effect; simpler to communicate than Gamma.
108,Oster E,2019,Unobservable Selection and Coefficient Stability: Theory and Evidence,Journal of Business & Economic Statistics 37(2) 187-204,https://doi.org/10.1080/07350015.2016.1227711,methods-sensitivity,Bounds treatment effect by comparing coefficient stability with R-squared changes; standard robustness check for PSM.
109,Altonji J G Elder T E & Taber C R,2005,Selection on Observed and Unobserved Variables: Assessing the Effectiveness of Catholic Schools,Journal of Political Economy 113(1) 151-184,https://doi.org/10.1086/426036,methods-sensitivity,AET ratio test: if selection on unobservables equals selection on observables would the treatment effect survive?
110,Fisman R & Sullivan T,2016,The ABCs of Business Schools: Rethinking MBAs and Careers,Book / Journal of Economic Perspectives,https://doi.org/10.1257/jep.30.4.215,comparable-program,Discusses MBA selection/treatment disentangling; methodologically parallel to YC (selection on founder quality).
111,Abadie A Athey S Imbens G W & Wooldridge J M,2017,When Should You Adjust Standard Errors for Clustering?,Quarterly Journal of Economics 138(1) 1-35,https://doi.org/10.1093/qje/qjac038,methods-inference,Cluster SEs only when sampling or treatment is at cluster level; relevant to YC batch-level clustering.
112,Cameron A C Gelbach J B & Miller D L,2008,Bootstrap-Based Improvements for Inference with Clustered Errors,Review of Economics and Statistics 90(3) 414-427,https://doi.org/10.1162/rest.90.3.414,methods-inference,Wild cluster bootstrap for few clusters; needed when YC batch count ~40 is small for cluster-robust SE.
113,Roberts M R & Whited T M,2013,Endogeneity in Empirical Corporate Finance,Handbook of the Economics of Finance 2 493-572,https://doi.org/10.1016/B978-0-44-453594-8.00007-0,methods-review,Practical endogeneity handbook for corporate finance covering IV DiD RD matching; applies directly to the YC question.
114,Gelman A & Hill J,2006,Data Analysis Using Regression and Multilevel/Hierarchical Models,Cambridge University Press Textbook,https://www.cambridge.org/core/books/data-analysis-using-regression-and-multilevelhierarchical-models/32A29531C7FD730C3A68951A17C9D983,methods-textbook,Hierarchical models textbook; direct reference for batch/region multilevel specification.
115,McKelvey B & Aldrich H,1983,Populations Natural Selection and Applied Organizational Science,Administrative Science Quarterly 28(1) 101-128,https://doi.org/10.2307/2392389,startup-theory,Foundational organisational ecology paper; framework for interpreting survival as selection not individual effect.
116,Stinchcombe A L,1965,Social Structure and Organizations,Handbook of Organizations 142-193,https://books.google.com/books?id=AfNYgqwXnvoC,startup-theory,Classic paper on liability of newness; base-rate argument for startup mortality.
117,Headd B,2003,Redefining Business Success: Distinguishing Between Closure and Failure,Small Business Economics 21(1) 51-61,https://doi.org/10.1023/A:1024433630958,survival-baseline,Defining startup failure: ~50% of new US firms survive to 4 years per BLS BED; must disentangle closure from failure.
118,US Bureau of Labor Statistics,2024,Business Employment Dynamics: Entrepreneurship and the U.S. Economy,BLS Technical Series,https://www.bls.gov/bdm/entrepreneurship/entrepreneurship.htm,survival-baseline,US base rate: ~67% of new businesses survive 2 years ~50% to 5 years ~30% to 10 years.
119,Kauffman Foundation,2023,The State of Entrepreneurship: Kauffman Indicators of Entrepreneurship,Kauffman Indicators Report,https://indicators.kauffman.org/,survival-baseline,New employer-firm startup rate ~0.3% of adults; provides universe size for Form D control pool.
120,CB Insights,2023,The Top 12 Reasons Startups Fail,CB Insights Research Report,https://www.cbinsights.com/research/startup-failure-reasons-top/,survival-baseline,Postmortem analysis of 483 failed startups; ~38% cite cash/funding 35% no market need 20% team; limitation: self-reported.
121,Santoro M D et al.,2018,Knowledge based view of the accelerator,Knowledge Management Research & Practice,https://doi.org/10.1080/14778238.2018.1431128,accelerator-mechanism,Accelerator knowledge transfer via mentor-cohort-alumni channels; mechanism beyond capital.
122,Kim J Y & Wagman L,2014,Portfolio Size and Information Disclosure: An Analysis of Startup Accelerators,Journal of Corporate Finance 29 520-534,https://doi.org/10.1016/j.jcorpfin.2014.10.017,accelerator-design,Accelerator optimal cohort size trades signal quality vs batch fee revenue.
123,Yu S,2021,How do Accelerators Impact High-Technology Ventures Different from VCs?,Strategic Entrepreneurship Journal,https://doi.org/10.1002/sej.1383,accelerator-vc-comparison,Accelerator effect distinct from VC selection; accelerator-backed ventures fail earlier but exit earlier too.
124,Dutt N & Kaplan S,2024,Overcoming Barriers? The Mixed Results of Social Innovation Accelerator Programs for Women Entrepreneurs,SSRN Working Paper,https://doi.org/10.2139/ssrn.5966514,accelerator-heterogeneity,Gender heterogeneity: social-innovation accelerators narrow funding gap but fail to scale women-led ventures.
125,Cumming D Werth J C & Zhang Y,2019,Governance in Entrepreneurial Ecosystems: Venture Capitalists vs. Technology Parks,Small Business Economics 53(2) 455-484,https://doi.org/10.1007/s11187-018-9974-y,ecosystem,Different ecosystem institutions (VC parks accelerators) substitute or complement; selection depends on founder needs.
126,Mollick E,2014,The dynamics of crowdfunding: An exploratory study,Journal of Business Venturing 29(1) 1-16,https://doi.org/10.1016/j.jbusvent.2013.06.005,alt-finance,Crowdfunding offers alternative funding signal; relevant for negative controls (crowdfunding not YC-funded startups).
127,Catalini C Fazio C & Murray F,2018,Can Equity Crowdfunding Democratize Access to Capital and Investment Opportunities,MIT Innovation Initiative Working Paper,https://innovation.mit.edu/assets/Can-Equity-Crowdfunding.pdf,alt-finance,Equity crowdfunding platforms attract different founder pool than YC; covariate for control selection.
128,Da Rin M Nicodano G & Sembenelli A,2006,Public Policy and the Creation of Active Venture Capital Markets,Journal of Public Economics 90(8-9) 1699-1723,https://doi.org/10.1016/j.jpubeco.2005.09.013,policy-vc,Public policy (tax capital gains pension liberalisation) affects VC market depth; exogenous variation tool.
129,Bellavitis C Filatotchev I Kamuriwo D S & Vanacker T,2017,Entrepreneurial finance: new frontiers of research and practice,Venture Capital 19(1-2) 1-16,https://doi.org/10.1080/13691066.2016.1259266,vc-review,Editorial review of entrepreneurial finance gaps; flags accelerator-effect identification as open.
130,Brown J D et al.,2019,Using Census Data to Study Entrepreneurship,Small Business Economics 53(4) 943-953,https://doi.org/10.1007/s11187-018-00116-7,data-source,Census LBD offers universe benchmark for startup survival; alternative to Form D for US control pool.
131,Puri M & Robinson D T,2013,The Economic Psychology of Entrepreneurs,Duke-CEPR Working Paper,https://faculty.fuqua.duke.edu/~mpuri/papers/ep.pdf,founder-demographics,Entrepreneurs systematically more optimistic; selection on overconfidence a confound for founder-quality measures.
132,Kaplan S N & Stromberg P,2009,Leveraged Buyouts and Private Equity,Journal of Economic Perspectives 23(1) 121-146,https://doi.org/10.1257/jep.23.1.121,pe-context,Background on PE industry structure; contrasts with VC and accelerator models.
133,Bertoni F & Tykvova T,2015,Does governmental venture capital spur invention and innovation?,Research Policy 44(4) 925-935,https://doi.org/10.1016/j.respol.2015.02.002,vc-gov,Government VC underperforms private VC on innovation; cautionary for public accelerator comparisons.
134,Brander J A Du Q & Hellmann T,2015,The Effects of Government-Sponsored Venture Capital: International Evidence,Review of Finance 19(2) 571-618,https://doi.org/10.1093/rof/rfu009,vc-gov,Government VC spurs entry but crowds out private capital; distinct treatment effect pattern from YC.
135,Lerner J,2009,Boulevard of Broken Dreams: Why Public Efforts to Boost Entrepreneurship and Venture Capital Have Failed,Princeton University Press Book,https://press.princeton.edu/books/hardcover/9780691142197/boulevard-of-broken-dreams,vc-textbook,Most government attempts to replicate Silicon Valley fail; YC is privately funded and unique.
136,Cumming D J & MacIntosh J G,2003,A cross-country comparison of full and partial venture capital exits,Journal of Banking & Finance 27(3) 511-548,https://doi.org/10.1016/S0378-4266(02)00389-8,exit-outcomes,Exit behaviour varies by market; definition of successful exit matters for YC outcome coding.
137,Gompers P A,1995,Optimal investment monitoring and the staging of venture capital,Journal of Finance 50(5) 1461-1489,https://doi.org/10.1111/j.1540-6261.1995.tb05185.x,vc-staging,Staged financing is a monitoring device; staging shortens for more informed investors (relevant to YC followers).
138,Krishnan C N V Ivanov V I Masulis R W & Singh A K,2011,Venture Capital Reputation Post-IPO Performance and Corporate Governance,Journal of Financial and Quantitative Analysis 46(5) 1295-1333,https://doi.org/10.1017/S0022109011000251,vc-certification,High-reputation VC backing predicts better post-IPO performance; persistent governance effect.
139,Cumming D,2008,Contracts and exits in venture capital finance,Review of Financial Studies 21(5) 1947-1982,https://doi.org/10.1093/rfs/hhn072,vc-contracting,VC contract terms predict exit type; affects outcome definition (IPO vs acquisition vs liquidation).
140,Smith D G,2005,The exit structure of venture capital,UCLA Law Review 53 315-356,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=692062,vc-contracting,Legal framework of VC exits; drag-along/tag-along rights shape which outcomes are actually available.
141,Leatherbee M & Katila R,2020,The lean startup method: Early-stage teams and hypothesis-based probing of business opportunities,Strategic Management Journal 41(4) 570-593,https://doi.org/10.1002/smj.3131,methodology-startup,Lean methodology (central to YC curriculum) aids hypothesis refinement but only for novice teams.
142,Eesley C E & Wang Y,2017,Social influence in career choice: Evidence from a randomized field experiment on entrepreneurial mentorship,Research Policy 46(3) 636-650,https://doi.org/10.1016/j.respol.2017.01.010,mentorship,Experimentally-induced mentor exposure increases entrepreneurship; supports accelerator mentor mechanism.
143,Lafontaine F & Shaw K,2016,Serial Entrepreneurship: Learning by Doing?,Journal of Labor Economics 34(S2) S217-S254,https://doi.org/10.1086/683820,founder-experience,Serial entrepreneurs learn; 2nd and 3rd ventures survive longer; YC sometimes selects serial founders preferentially.
144,Gompers P A & Kovner A & Lerner J & Scharfstein D,2008,Venture capital investment cycles: The impact of public markets,Journal of Financial Economics 87(1) 1-23,https://doi.org/10.1016/j.jfineco.2006.12.002,vc-cycles,VC invests more in hot public markets; selection of YC vintage by cycle is a cohort confound.
145,Kerr W R & Nanda R,2015,Financing Innovation,Annual Review of Financial Economics 7 445-462,https://doi.org/10.1146/annurev-financial-111914-041825,vc-review,Review of financing innovation; flags experimentation-and-selection as main mechanism.
146,Lin T C & Smith R L,1998,Insider Reputation and Selling Decisions: The Unwinding of Venture Capital Investments During Equity IPOs,Journal of Corporate Finance 4(3) 241-263,https://doi.org/10.1016/S0929-1199(98)00006-X,exit-outcomes,Insider unwinding at IPO signals quality; affects outcome stability definition.
147,Ritter J R,2024,Initial Public Offerings: Updated Statistics,Jay Ritter IPO Data Series,https://site.warrington.ufl.edu/ritter/ipo-data/,base-rates,Benchmark IPO statistics; used as base rate for YC-vs-control IPO outcome comparison.
148,Hegde D & Tumlinson J,2014,Does Social Proximity Enhance Business Partnerships? Theory and Evidence from Ethnicity in US Venture Capital,Management Science 60(9) 2355-2380,https://doi.org/10.1287/mnsc.2013.1878,vc-networks,Ethnic homophily in VC-founder matching; relevant confounder in covariate set.
149,Bengtsson O & Hsu D H,2015,Ethnic Matching in the U.S. Venture Capital Market,Journal of Business Venturing 30(2) 338-354,https://doi.org/10.1016/j.jbusvent.2014.09.001,vc-networks,Same-ethnicity VC-founder pairs more likely to match; documents a measurable demographic confound.
150,Wooldridge J M,2010,Econometric Analysis of Cross Section and Panel Data 2nd Edition,MIT Press Textbook,https://mitpress.mit.edu/9780262232586/econometric-analysis-of-cross-section-and-panel-data/,methods-textbook,Standard econometrics reference; IV DiD and matching chapters map to YC identification strategies.
151,Cunningham S,2021,Causal Inference: The Mixtape,Yale University Press Textbook,https://mixtape.scunning.com/,methods-textbook,Applied causal inference with code; chapter on matching and synthetic control directly usable.
152,Facure M,2023,Causal Inference for The Brave and True,Open textbook,https://matheusfacure.github.io/python-causality-handbook/,methods-textbook,Python-based causal inference handbook; demonstrates PSM DiD synth control with reusable code patterns.
153,Imbens G W,2015,Matching Methods in Practice: Three Examples,Journal of Human Resources 50(2) 373-419,https://doi.org/10.3368/jhr.50.2.373,methods-propensity,Walkthrough of matching choice with three real datasets; recommends starting with simple NN propensity + robustness tests.
154,Sekhon J S,2011,Multivariate and Propensity Score Matching Software with Automated Balance Optimization: The Matching Package for R,Journal of Statistical Software 42(7) 1-52,https://doi.org/10.18637/jss.v042.i07,methods-propensity,Reference implementation for genetic-algorithm based propensity matching with automatic balance; toolkit for this project.
155,Ho D E Imbai K King G & Stuart E A,2007,Matching as Nonparametric Preprocessing for Reducing Model Dependence in Parametric Causal Inference,Political Analysis 15(3) 199-236,https://doi.org/10.1093/pan/mpl013,methods-propensity,Matching first then parametric adjustment reduces model dependence; recommended pipeline for YC study.
156,Gompers P Huang K & Wang S Q,2022,Homophily in Entrepreneurial Team Formation,Journal of Financial Economics 145(2) 438-461,https://doi.org/10.1016/j.jfineco.2021.08.012,founder-demographics,Founding teams form homophilously on education ethnicity and gender; homophily predicts lower success.
157,Hellmann T & Puri M,2002,Venture Capital and the Professionalization of Start-Up Firms: Empirical Evidence,Journal of Finance 57(1) 169-197,https://doi.org/10.1111/1540-6261.00419,vc-monitoring,VC-backed startups professionalize (HR sales marketing) earlier than matched non-VC firms; YC mirrors this mechanism.
158,Bottazzi L Da Rin M & Hellmann T,2008,Who are the active investors? Evidence from venture capital,Journal of Financial Economics 89(3) 488-512,https://doi.org/10.1016/j.jfineco.2007.09.003,vc-monitoring,Active VC monitoring correlates with exits; independent vs captive fund type matters.
159,Hellmann T,2006,IPOs acquisitions and the use of convertible securities in venture capital,Journal of Financial Economics 81(3) 649-679,https://doi.org/10.1016/j.jfineco.2005.06.007,exit-outcomes,Convertible securities predict exit channel; relevant for outcome definition.
160,Bernstein S Mehta K Townsend R R & Xu T,2024,Do Startups Benefit from Their Investors Reputation? Evidence from a Randomized Field Experiment,Journal of Finance forthcoming,https://doi.org/10.1111/jofi.13380,vc-certification,RCT: investor reputation causally increases startup success probability; clean identification of certification effect.
