key,authors,year,title,venue,identifier,theme,role,verify
satzinger2021realizing,Satzinger et al. (Google),2021,Realizing topologically ordered states on a quantum processor,Science,doi:10.1126/science.abi8378,6,toric state reference,
huang2024leveraging,Huang et al.,2024,Leveraging qubit coherence in decoder design,VERIFY,VERIFY,4,coherence-aware decoder reference,VERIFY
honciuc2024erasure,"Honciuc et al.",2024,Erasure conversion in superconducting dual-rail,VERIFY,VERIFY,4,erasure conversion reference,VERIFY
levine2024dualrail,Levine et al.,2024,Demonstrating a long-coherence dual-rail erasure qubit,arXiv,arXiv:2307.08737,4,dual-rail qubit reference,VERIFY
kubica2022single,Kubica et al.,2022,Single-shot error correction with measurement-noise-tolerant codes,VERIFY,VERIFY,4,single-shot QEC reference,VERIFY
campbell2019theory,Campbell,2019,A theory of single-shot error correction for adversarial noise,Quantum Sci. Technol.,doi:10.1088/2058-9565/aafc8f,4,single-shot QEC reference,
bombin2015single,Bombin,2015,Single-shot fault-tolerant quantum error correction,Phys. Rev. X,doi:10.1103/PhysRevX.5.031043,4,single-shot FT reference,
brown2020parallelizing,"Brown Terhal",2020,Parallelizing quantum error correction,VERIFY,VERIFY,6,parallel QEC reference,VERIFY
delfosse2020parallel,Delfosse et al.,2020,Hierarchical decoding of quantum error correction codes,arXiv,arXiv:2001.11427,4,hierarchical decoding reference,VERIFY
paler2019cost,Paler Oumarou Basmadjian,2019,Cost of fault tolerance,VERIFY,VERIFY,7,FT cost reference,VERIFY
overwater2022neural,Overwater et al.,2022,Neural-network decoders for fault-tolerant quantum codes,IEEE Trans.,doi:10.1109/TQE.2022.3174017,4,neural decoder reference,VERIFY
torlai2017neural,Torlai Melko,2017,Neural decoder for topological codes,Phys. Rev. Lett.,doi:10.1103/PhysRevLett.119.030501,4,neural decoder origin,
varsamopoulos2017decoding,Varsamopoulos et al.,2017,Decoding small surface codes with feedforward neural networks,Quantum Sci. Technol.,doi:10.1088/2058-9565/aa955a,4,neural decoder reference,VERIFY
chamberland2018deep,Chamberland Ronagh,2018,Deep neural decoders for near term fault-tolerant experiments,Quantum Sci. Technol.,doi:10.1088/2058-9565/aad1f7,4,neural decoder reference,
huang2019dqn,"Huang et al.",2019,Deep RL for QEC,VERIFY,VERIFY,4,RL decoder origin,VERIFY
sweke2020reinforcement,Sweke et al.,2020,Reinforcement learning decoders for fault-tolerant quantum computation,Mach. Learn.: Sci. Technol.,doi:10.1088/2632-2153/abc609,4,RL decoder reference,
ni2020neural,Ni,2020,Neural network decoders for large-distance 2D toric codes,Quantum,doi:10.22331/q-2020-06-29-267,4,neural decoder reference,
bhoumik2021efficient,Bhoumik Majumdar,2021,Efficient decoding of surface code with non-uniform noise,VERIFY,VERIFY,4,non-uniform decoder reference,VERIFY
fitzek2020deep,Fitzek Eliasson Kockum Granath,2020,Deep Q-learning decoder for depolarizing noise,Phys. Rev. Research,doi:10.1103/PhysRevResearch.2.023230,4,RL decoder reference,
meinerz2022scalable,Meinerz Park Trebst,2022,Scalable neural decoder for topological surface codes,Phys. Rev. Lett.,doi:10.1103/PhysRevLett.128.080505,4,scalable neural decoder,VERIFY
ueno2021qecool,Ueno et al.,2021,QECOOL: on-chip quantum error correction,IEEE IISWC,doi:10.1109/IISWC53511.2021.00020,6,on-chip decoder reference,VERIFY
battistel2023realtime,"Battistel et al.",2023,Real-time decoding for fault-tolerant quantum computing,VERIFY,VERIFY,6,real-time decoder reference,VERIFY
shutty2022decoding,Shutty Hann Gidney,2022,Decoding in streaming mode,VERIFY,VERIFY,4;6,streaming decoder reference,VERIFY
higgott2022fragile,Higgott et al.,2022,Fragile boundaries of tailored surface codes,arXiv,arXiv:2203.04948,4,tailored code reference,VERIFY
bonilla2020xzzx,"Bonilla Ataides",2020,Boundaries of the XZZX code,VERIFY,VERIFY,4,XZZX boundary reference,VERIFY
bombin2023fault,Bombin et al. (PsiQuantum),2023,Fault tolerant quantum computing with interleaving,arXiv,arXiv:2303.04568,6,photonic FTQC reference,VERIFY
bartolucci2023fusion,Bartolucci et al. (PsiQuantum),2023,Fusion-based quantum computation,Nat. Commun.,doi:10.1038/s41467-023-36493-1,6,FBQC reference,
dauphinais2017fault,Dauphinais Poulin,2017,Fault-tolerant quantum error correction for non-abelian anyons,Commun. Math. Phys.,doi:10.1007/s00220-017-2923-9,4,non-abelian FTQC reference,
heussen2023strategies,Heussen et al.,2023,Strategies for a practical advantage of fault-tolerant circuit design in noisy trapped-ion quantum computers,Phys. Rev. A,doi:10.1103/PhysRevA.107.042422,4,trapped-ion FT reference,
ryanAnderson2021realization,Ryan-Anderson et al. (Quantinuum),2021,Realization of real-time fault-tolerant quantum error correction,Phys. Rev. X,doi:10.1103/PhysRevX.11.041058,6,trapped-ion real-time QEC,
postler2022demonstration,Postler et al.,2022,Demonstration of fault-tolerant universal quantum gate operations,Nature,doi:10.1038/s41586-022-05471-w,6,trapped-ion FT gates,
menendez2023ibm,"Menendez et al.",2023,IBM quantum processor noise profile,VERIFY,VERIFY,3,IBM noise profile reference,VERIFY
google2021exponential,Google Quantum AI,2021,Exponential suppression of bit or phase errors with cyclic error correction,Nature,doi:10.1038/s41586-021-03588-y,6,repetition code d=21 reference,
smith2023scaling,"Smith et al.",2023,Scaling superconducting processors,VERIFY,VERIFY,3,SC scaling reference,VERIFY
neill2018blueprint,Neill et al.,2018,A blueprint for demonstrating quantum supremacy with superconducting qubits,Science,doi:10.1126/science.aao4309,3,SC blueprint reference,
klimov2018fluctuations,Klimov et al.,2018,Fluctuations of energy-relaxation times in superconducting qubits,Phys. Rev. Lett.,doi:10.1103/PhysRevLett.121.090502,3,T1 fluctuations reference,
burnett2019decoherence,Burnett et al.,2019,Decoherence benchmarking of superconducting qubits,npj Quantum Inf.,doi:10.1038/s41534-019-0168-5,3,decoherence benchmarking reference,
lisenfeld2019tls,Lisenfeld et al.,2019,Electric field spectroscopy of material defects in transmon qubits,npj Quantum Inf.,doi:10.1038/s41534-019-0127-1,3,TLS spectroscopy,
carroll2022dynamics,Carroll Rosenblum,2022,Dynamics of superconducting qubit relaxation times,VERIFY,VERIFY,3,relaxation-time dynamics reference,VERIFY
martinis2021saving,Martinis,2021,Saving superconducting quantum processors from decay and correlated errors generated by gamma and cosmic rays,npj Quantum Inf.,doi:10.1038/s41534-021-00431-0,3,cosmic-ray correlated errors reference,
mcewen2022resolving,McEwen et al.,2022,Resolving catastrophic error bursts from cosmic rays in large arrays of superconducting qubits,Nat. Phys.,doi:10.1038/s41567-021-01432-8,3;5,cosmic-ray burst reference,
miao2023overcoming,Miao et al.,2023,Overcoming leakage in quantum error correction,Nat. Phys.,doi:10.1038/s41567-023-02226-w,4;5,leakage-aware decoding reference,
battistel2021hardware,Battistel Varbanov Terhal,2021,Hardware-aware heuristic for multi-qubit noise estimation,VERIFY,VERIFY,3,hardware-aware noise estimation reference,VERIFY
huang2025gpu,Huang et al.,2025,GPU-accelerated BP-OSD decoding,VERIFY,VERIFY,4,GPU BP+OSD reference,VERIFY
deltakit_riverlane,Riverlane,2025,Deltakit textbook,textbook.riverlane.com,-,4,Deltakit educational reference,
nordiquest2024threshold,"NordIQuEst",2024,Surface Code Threshold tutorial,nordiquest.net,-,4,surface-code threshold tutorial,
barends2014superconducting,Barends et al.,2014,Superconducting quantum circuits at the surface code threshold for fault tolerance,Nature,doi:10.1038/nature13171,6,pre-threshold SC QEC reference,
reagor2018,Reagor et al.,2018,Demonstration of universal parametric entangling gates on a multi-qubit lattice,Sci. Adv.,doi:10.1126/sciadv.aao3603,3,SC parametric gate reference,
ofek2016,Ofek et al.,2016,Extending the lifetime of a quantum bit with error correction in superconducting circuits,Nature,doi:10.1038/nature18949,6,bosonic QEC early reference,
cai2021bosonic,Cai et al.,2021,Bosonic quantum error correction codes in superconducting quantum circuits,Fundamental Research,doi:10.1016/j.fmre.2020.12.006,6,bosonic QEC review,
reinhold2020error,Reinhold et al.,2020,Error-corrected gates on an encoded qubit,Nat. Phys.,doi:10.1038/s41567-020-0931-8,6,bosonic error-correction gate reference,
zurita2022scalable,Zurita et al.,2022,Scalable FT quantum computation,VERIFY,VERIFY,7,FT scaling reference,VERIFY
varsamopoulos2020comparing,Varsamopoulos Bertels Almudever,2020,Comparing neural network based decoders for the surface code,IEEE Trans. Comput.,doi:10.1109/TC.2019.2948506,4,NN decoder comparison,VERIFY
shutty2024decoder,Shutty,2024,Decoder complexity for large d,VERIFY,VERIFY,4;6,decoder complexity reference,VERIFY
das2022afs,Das Pattabiraman Lvov,2022,AFS: Accurate fast streaming decoder for real-time QEC,IEEE HPCA,doi:10.1109/HPCA53966.2022.00022,6,streaming decoder hardware reference,VERIFY
das2022lilliput,"Das et al.",2022,LILLIPUT: a lightweight low-latency decoder,ASPLOS,doi:10.1145/3503222.3507707,6,low-latency decoder reference,VERIFY
ueno2022nquestql,Ueno et al.,2022,NEO-QEC,VERIFY,VERIFY,6,hardware QEC reference,VERIFY
gregory2023decoding,Gregory et al.,2023,Decoding latency estimates for Willow,VERIFY,VERIFY,6,Willow latency reference,VERIFY
mcewen2024reducing,"McEwen et al. (Google)",2024,Reducing leakage in surface code experiments,VERIFY,VERIFY,5,leakage reduction reference,VERIFY
obrien2017density,O'Brien Tarasinski Terhal,2017,Density-matrix simulation of small surface codes,New J. Phys.,doi:10.1088/1367-2630/aa8416,5,density-matrix SC sim reference,
obrien2018quantum,O'Brien et al.,2018,Quantum error correction for a surface code,VERIFY,VERIFY,4,SC theory reference,VERIFY
andrist2016noise,Andrist,2016,Statistical mechanics of topological quantum codes,VERIFY,VERIFY,4,stat-mech mapping reference,VERIFY
gottesman1997stabilizer,Gottesman,1997,Stabilizer codes and quantum error correction,PhD thesis,arXiv:quant-ph/9705052,4,stabilizer formalism origin,
litinski2022active,Litinski,2022,Active volume architectures for quantum computation,arXiv,arXiv:2211.15465,6;7,active-volume architecture reference,
bonet2018decoders,Bonet-Monroig et al.,2018,Low-cost error mitigation by symmetry verification,Phys. Rev. A,doi:10.1103/PhysRevA.98.062339,1,symmetry mitigation reference,
beverland2021cost,Beverland et al. (Microsoft),2021,Cost of fault tolerance for quantum chemistry,VERIFY,VERIFY,7,chemistry FTQC cost reference,VERIFY
kivlichan2020chemistry,Kivlichan et al.,2020,Improved fault-tolerant quantum simulation of chemistry,Quantum,doi:10.22331/q-2020-07-16-296,7,chemistry FTQC reference,
babbush2018encoding,Babbush et al.,2018,Encoding electronic spectra in quantum circuits with linear T complexity,Phys. Rev. X,doi:10.1103/PhysRevX.8.041015,7,chemistry encoding reference,
lee2021even,Lee et al.,2021,Even more efficient quantum computations of chemistry through tensor hypercontraction,PRX Quantum,doi:10.1103/PRXQuantum.2.030305,7,chemistry compute reference,
goings2022reliable,Goings et al.,2022,Reliably assessing the electronic structure of cytochrome P450 on today's classical computers and tomorrow's quantum computers,PNAS,doi:10.1073/pnas.2203533119,7,FTQC chemistry reference,
cleve2024quantumchem,Cleve et al.,2024,Quantum chemistry FT runtime,VERIFY,VERIFY,7,chemistry FT runtime reference,VERIFY
das2023riverstream,"Das et al.",2023,Riverlane streaming decoder architecture,VERIFY,VERIFY,6,Riverlane streaming reference,VERIFY
riverlane2024lcdblog,Riverlane,2024,High accuracy flexible hardware decoder blog,riverlane.com/news,-,4;6,LCD blog reference,
google2024realtime,"Google Quantum AI",2024,Making quantum error correction work,research.google/blog,-,6,QEC blog reference,
wallman2014robust,Wallman et al.,2014,Robust characterization of loss channels,Phys. Rev. A,doi:10.1103/PhysRevA.89.062321,3,loss channel characterisation,
knill2000method,Knill Laflamme Viola,2000,Theory of quantum error correction for general noise,Phys. Rev. Lett.,doi:10.1103/PhysRevLett.84.2525,4,Knill-Laflamme conditions,
carter2025calibration,"Carter et al.",2025,Calibration feedback loops,VERIFY,VERIFY,3;6,calibration loop reference,VERIFY
feld2022onboard,Feld et al.,2022,On-board resource estimation,VERIFY,VERIFY,7,on-board RE reference,VERIFY
robbins2024continuous,Robbins et al.,2024,Continuous GST,VERIFY,VERIFY,3,continuous GST reference,VERIFY
rudnicki2017gauge,Rudnicki et al.,2017,Gauge freedom in QPT,VERIFY,VERIFY,3,QPT gauge reference,VERIFY
onorato2024syndromelearning,Onorato,2024,Learning from syndromes,VERIFY,VERIFY,1;5,syndrome learning reference,VERIFY
arxiv2509_13678b,Rare event authors,2025,Rare Event Simulation of Quantum Error-Correcting Circuits (v2),arXiv,arXiv:2509.13678,5,rare-event sim reference,VERIFY
arxiv2506_08331,Noisy QC using QC authors,2025,Correcting a noisy quantum computer using a quantum computer,arXiv,arXiv:2506.08331,1,alt paradigm reference,VERIFY
cao2016quantum,Cao et al.,2016,Quantum chemistry in the age of quantum computing,Chem. Rev.,doi:10.1021/acs.chemrev.8b00803,7,quantum-chem review,
mcardle2020qc,McArdle et al.,2020,Quantum computational chemistry,Rev. Mod. Phys.,doi:10.1103/RevModPhys.92.015003,7,quantum-chem review,
barber2025robust,Barber et al.,2025,Robust decoding with mis-specified noise,VERIFY,VERIFY,4,robust decoder reference,VERIFY
fowler2015minimum,Fowler,2015,Minimum weight perfect matching of fault-tolerant topological quantum error correction in average O(1) parallel time,QIC,VERIFY,4,MWPM O(1) parallel reference,
delfosse2014decoding,Delfosse,2014,Decoding color codes by projection onto surface codes,Phys. Rev. A,doi:10.1103/PhysRevA.89.012317,4,color-code projection reference,
martinelli2024thermal,Martinelli et al.,2024,Thermal drift in cryogenic superconducting systems,VERIFY,VERIFY,3,thermal drift reference,VERIFY
white2025drift,White et al.,2025,Drift characterisation in NISQ systems,VERIFY,VERIFY,3,drift characterisation reference,VERIFY
yoder2017universal,Yoder,2017,Universal gates with weight-two stabilizer measurements,VERIFY,VERIFY,4,universal-gate reference,VERIFY
terhal2002survey,Terhal,2002,Survey of QEC,VERIFY,VERIFY,1,QEC survey,VERIFY
dankert2009exact,Dankert et al.,2009,Exact and approximate unitary 2-designs,Phys. Rev. A,doi:10.1103/PhysRevA.80.012304,3,unitary design reference,
mezzadri2007generating,Mezzadri,2007,How to generate random matrices from the classical compact groups,Notices AMS,VERIFY,3,random matrix reference,VERIFY
fontana2024characterising,Fontana et al.,2024,Characterising noise by symmetry-adapted tomography,VERIFY,VERIFY,3,symmetry tomography reference,VERIFY
flammia2011random,Flammia Liu,2011,Direct fidelity estimation from few Pauli measurements,Phys. Rev. Lett.,doi:10.1103/PhysRevLett.106.230501,3,direct fidelity estimation,
silva2008scalable,da Silva Landon-Cardinal Poulin,2011,Practical characterization of quantum devices without tomography,Phys. Rev. Lett.,doi:10.1103/PhysRevLett.107.210404,3,scalable characterisation reference,
kueng2016comparing,Kueng Gross,2016,Comparing experimental data,VERIFY,VERIFY,5,experimental data comparison reference,VERIFY
mccaskey2020quantum,McCaskey et al.,2020,Quantum chemistry as a benchmark,npj Quantum Inf.,doi:10.1038/s41534-019-0209-0,7,chem benchmark reference,
temme2023quantum,Temme et al.,2023,Quantum error mitigation — survey,VERIFY,VERIFY,1,mitigation survey reference,VERIFY
