id,title,authors,year,venue,theme,method,material,key_finding,doi_or_url
117,"A recent review on advancements in dimensional accuracy in FDM","Various",2024,"AIMS Materials Science","Parameter effects","Review","FDM materials","Review of dimensional accuracy challenges and solutions in FDM","https://www.aimspress.com/aimspress-data/aimsmates/2024/5/PDF/matersci-11-05-046.pdf"
118,"Open source computer vision-based layer-wise 3D printing analysis","Various",2020,"Additive Manufacturing","Process monitoring","Computer vision","FDM materials","Open-source layer-by-layer visual analysis system for FDM","https://www.sciencedirect.com/science/article/abs/pii/S2214860420308459"
119,"Data-Driven 3D-Printed Material Data Prediction From Benchmark Specimens","Various",2025,"JCISE","ML prediction","Data-driven prediction","3D printing materials","Material property prediction from standardized benchmark specimens","https://doi.org/10.1115/1.4067722"
120,"Multi-Parameter Optimization of 3D Printing for Enhanced Quality and Strength","Various",2022,"PMC","Multi-objective optimization","Multi-parameter optimization","FDM materials","Systematic multi-parameter optimization framework for FDM quality","https://pmc.ncbi.nlm.nih.gov/articles/PMC9030841/"
121,"Additive Manufacturing Technologies: 3D Printing, Rapid Prototyping, and Direct Digital Manufacturing (3rd ed.)","Gibson, Rosen, Stucker, Khademhosseini",2021,"Springer","textbook","Textbook","Multiple","Definitive AM textbook covering material extrusion, photopolymerization, powder bed fusion, and process fundamentals","https://doi.org/10.1007/978-3-030-56127-7"
122,"Rapid Prototyping: Principles and Applications (3rd ed.)","Chua, Leong, Lim",2010,"World Scientific","textbook","Textbook","Multiple","Classic textbook covering rapid prototyping process physics including FDM","https://doi.org/10.1142/6665"
123,"Understanding Additive Manufacturing: Rapid Prototyping, Rapid Tooling, Rapid Manufacturing","Gebhardt",2011,"Hanser Publishers","textbook","Textbook","Multiple","Textbook on AM fundamentals with process parameter discussions","https://doi.org/10.3139/9783446431621"
124,"3D Printing and Additive Manufacturing: Principles and Applications (5th ed.)","Chua, Leong",2017,"World Scientific","textbook","Textbook","Multiple","Comprehensive AM textbook with process, material, and design chapters","https://doi.org/10.1142/10200"
125,"Polymer Processing: Principles and Design (2nd ed.)","Baird, Collias",2014,"Wiley","textbook","Textbook","Polymers","Fundamentals of polymer melt extrusion physics underlying FDM","https://www.wiley.com/en-us/9780470426012"
126,"ASTM F2792-12a Standard Terminology for Additive Manufacturing Technologies","ASTM International",2012,"ASTM","standard","Standard terminology","AM materials","Establishes the 7 AM process categories including material extrusion (ME/FDM/FFF)","https://doi.org/10.1520/F2792-12A"
127,"ISO/ASTM 52900:2021 Additive manufacturing - General principles - Fundamentals and vocabulary","ISO/ASTM",2021,"ISO","standard","Standard terminology","AM materials","International standard defining AM terminology, process categories, and reference frames","https://www.iso.org/standard/74514.html"
128,"ASTM D638-14 Standard Test Method for Tensile Properties of Plastics","ASTM International",2014,"ASTM","standard","Test method","Plastics","Standard dog-bone specimen geometry and test procedure for tensile properties of plastics including 3D-printed parts","https://doi.org/10.1520/D0638-14"
129,"ASTM D790-17 Standard Test Methods for Flexural Properties of Unreinforced and Reinforced Plastics","ASTM International",2017,"ASTM","standard","Test method","Plastics","Three-point bending test standard widely used for FDM flexural characterization","https://doi.org/10.1520/D0790-17"
130,"ASTM D256-10 Standard Test Methods for Determining the Izod Pendulum Impact Resistance of Plastics","ASTM International",2018,"ASTM","standard","Test method","Plastics","Izod impact test standard for FDM parts","https://doi.org/10.1520/D0256-10R18"
131,"ISO 527-2:2012 Plastics - Determination of tensile properties - Part 2: Test conditions for moulding and extrusion plastics","ISO",2012,"ISO","standard","Test method","Plastics","International equivalent of ASTM D638 for tensile testing of plastics","https://www.iso.org/standard/56046.html"
132,"Anisotropic material properties of fused deposition modeling ABS","Ahn, Montero, Odell, Roundy, Wright",2002,"Rapid Prototyping Journal","seminal","Experimental","ABS","Seminal paper establishing FDM anisotropy: raster angle and air gap effects on tensile strength","https://doi.org/10.1108/13552540210441166"
133,"Effect of processing conditions on the bonding quality of FDM polymer filaments","Sun, Rizvi, Bellehumeur, Gu",2008,"Rapid Prototyping Journal","seminal","Experimental + modeling","ABS","Seminal work on thermal history and bond formation kinetics in FDM (the 'Sun model')","https://doi.org/10.1108/13552540810862028"
134,"Quantification of fused deposition modeling process parameters using Taguchi method","Sood, Ohdar, Mahapatra",2009,"Materials and Design","seminal","Taguchi DOE","ABS","Widely cited Taguchi study on layer thickness, orientation, raster angle, raster width, air gap effects","https://doi.org/10.1016/j.matdes.2009.06.016"
135,"Experimental investigation and empirical modelling of FDM process for compressive strength improvement","Sood, Ohdar, Mahapatra",2012,"J. Advanced Research","seminal","ANN + GA","ABS","Early ANN+GA approach for compressive strength optimization - template for many subsequent studies","https://doi.org/10.1016/j.jare.2011.05.007"
136,"Parametric appraisal of mechanical property of fused deposition modelling processed parts","Sood, Ohdar, Mahapatra",2010,"Materials and Design","seminal","Experimental","ABS","Foundational multi-response optimization of FDM mechanical properties","https://doi.org/10.1016/j.matdes.2009.06.016"
137,"Measurement of anisotropic compressive strength of rapid prototyping parts","Lee, Abdullah, Khan",2005,"J. Materials Processing Technology","seminal","Experimental","ABS","Early documentation of FDM anisotropy under compressive loading","https://doi.org/10.1016/j.jmatprotec.2005.02.259"
138,"Mechanical characterization of parts fabricated using fused deposition modeling","Bellini, Guceri",2003,"Rapid Prototyping Journal","seminal","Experimental","ABS","Foundational mechanical characterization of FDM parts - widely cited","https://doi.org/10.1108/13552540310489631"
139,"A review on the fused deposition modeling (FDM) 3D printing: Filament processing, materials, and printing parameters","Mohamed, Masood, Bhowmik",2015,"Advances in Production Engineering and Management","review","Review","FDM materials","Highly cited review of FDM materials and parameters; a standard reference for the field","https://doi.org/10.14743/apem2015.1.188"
140,"Additive manufacturing of polymer-based composites using fused filament fabrication (FFF): a review","Penumakala, Santo, Thomas",2020,"Composites Part B: Engineering","review","Review","Polymer composites","Comprehensive review of FFF for polymer composites including processing-structure-property relationships","https://doi.org/10.1016/j.compositesb.2020.108336"
141,"Infill geometry and mechanical property of FDM parts: Review","Dev, Srivastava",2023,"Rapid Prototyping Journal","review","Review","FDM materials","Review of infill pattern effects on mechanical properties - direct reference for infill optimization","https://doi.org/10.1108/RPJ-07-2022-0232"
142,"Optimization of fused deposition modeling process parameters: a review of current research and future prospects","Dey, Yodo",2019,"Additive Manufacturing","review","Review","FDM materials","Systematic review of FDM parameter optimization techniques and gaps","https://doi.org/10.3390/jmmp3030064"
143,"A review on effect of preprocess parameters on mechanical characteristics of fused deposition modeling","Dey, Yodo",2019,"J. Manufacturing and Materials Processing","review","Review","FDM materials","Review catalogue of parameter-property relationships used as starting point for many ML studies","https://doi.org/10.3390/jmmp3030064"
144,"Parametric analysis of the effects of process parameters on FDM printed parts","Rayegani, Onwubolu",2014,"Int. J. Advanced Manufacturing Technology","seminal","Group method data handling + DE","ABS","Early use of differential evolution for FDM parameter optimization","https://doi.org/10.1007/s00170-014-5835-2"
145,"Influence of layer thickness and raster angle on the mechanical properties of 3D-printed PEEK and a comparative mechanical study between PEEK and ABS","Wu, Geng, Li, Zhao, Tang, Ye",2015,"Materials","seminal","Experimental","PEEK, ABS","First systematic comparison of high-performance PEEK vs ABS under FDM process parameters","https://doi.org/10.3390/ma8095271"
