id,title,authors,year,venue,doi_or_url,theme,notes
120,The Accelerated Failure Time Model: A Useful Alternative to the Cox Regression Model in Survival Analysis,"Wei L.J.",1992,Statistics in Medicine 11(14-15) 1871-1879,10.1002/sim.4780111409,method-survival,Canonical AFT-model treatment
121,Survival Analysis Techniques for Censored and Truncated Data (2nd ed),"Klein J.P.; Moeschberger M.L.",2003,Springer,10.1007/b97377,textbook,"Canonical applied survival-analysis textbook; left-truncation parametric/semi-parametric methods"
122,The Statistical Analysis of Failure Time Data (2nd ed),"Kalbfleisch J.D.; Prentice R.L.",2002,Wiley,10.1002/9781118032985,textbook,Deep theory-oriented survival analysis reference
123,Random Survival Forests,"Ishwaran H.; Kogalur U.B.; Blackstone E.H.; Lauer M.S.",2008,Annals of Applied Statistics 2(3) 841-860,10.1214/08-AOAS169,method-survival,Random forest extension to right-censored data
124,DeepHit: A Deep Learning Approach to Survival Analysis With Competing Risks,"Lee C.; Zame W.R.; Yoon J.; van der Schaar M.",2018,AAAI 2018,https://ojs.aaai.org/index.php/AAAI/article/view/11842,method-survival,Competing-risk deep survival network; no proportional-hazards assumption
125,Dynamic-DeepHit: A Deep Learning Approach for Dynamic Survival Analysis With Competing Risks Based on Longitudinal Data,"Lee C.; Yoon J.; van der Schaar M.",2019,IEEE Transactions on Biomedical Engineering 67(1) 122-133,10.1109/TBME.2019.2909027,method-survival,Dynamic extension using time-varying covariates
126,Deep Survival Machines: Fully Parametric Survival Regression and Representation Learning for Censored Data With Competing Risks,"Nagpal C.; Li X.; Dubrawski A.",2021,IEEE Journal of Biomedical and Health Informatics 25(8) 3163-3175,10.1109/JBHI.2021.3052441,method-survival,Parametric mixture-distribution survival models
127,Survival Regression with Accelerated Failure Time Model in XGBoost,"Barnwal A.; Cho H.; Hocking T.",2022,Journal of Computational and Graphical Statistics 31(4) 1292-1302,10.1080/10618600.2022.2067548,method-survival,XGBoost AFT loss for gradient-boosted survival analysis
128,scikit-survival: A Library for Time-to-Event Analysis Built on Top of scikit-learn,"Pölsterl S.",2020,Journal of Machine Learning Research 21(212) 1-6,https://jmlr.org/papers/v21/20-729.html,tool,sklearn-compatible survival package with Cox/RSF/SVM
129,Lifelines: Survival analysis in Python,"Davidson-Pilon C.",2019,Journal of Open Source Software 4(40) 1317,10.21105/joss.01317,tool,Python lifelines package for Cox/AFT/KM estimators
130,Econometric Analysis of Cross Section and Panel Data (2nd ed),"Wooldridge J.M.",2010,MIT Press,ISBN 978-0262232586,textbook,Standard econometrics reference including duration models
131,Microeconometrics: Methods and Applications,"Cameron A.C.; Trivedi P.K.",2005,Cambridge University Press,10.1017/CBO9780511811241,textbook,Microeconometrics reference including duration and censored data
132,Nonparametric Estimation from Incomplete Observations Introduction Chapter,"Breslow N.",1992,Springer Series in Statistics,10.1007/978-1-4612-4380-9_24,textbook-chapter,Historical commentary on Kaplan-Meier paper
133,Uniform Land Use Review Procedure (ULURP) Applicant Portal,"NYC Department of City Planning",2024,NYC Planning,https://www.nyc.gov/assets/planning/download/pdf/applicants/applicant-portal/lur.pdf,reference-legal,Primary-source description of ULURP procedure
134,Public Review Step 5: The ULURP Process,"NYC Department of City Planning",2024,NYC Planning,https://www.nyc.gov/site/planning/applicants/applicant-portal/step5-ulurp-process.page,reference-legal,ULURP phase timings and decision points
135,California SB 35 Text Planning and Zoning: Affordable Housing: Streamlined Approval Process,"California Legislature; Wiener",2017,Leginfo SB 35 (2017-2018),https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=201720180SB35,reference-legal,Primary-source SB 35 streamlined ministerial approval process
136,California SB 423 Text Land Use: Streamlined Housing Approvals: Multifamily Housing Developments,"California Legislature; Wiener",2023,Leginfo SB 423 (2023-2024),https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240SB423,reference-legal,Primary-source SB 423 text and sunset extension
137,California AB 2011 Text Affordable Housing and High Road Jobs Act of 2022,"California Legislature; Wicks",2022,Leginfo AB 2011 (2021-2022),https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202120220AB2011,reference-legal,Primary-source AB 2011 text on commercial-to-residential streamlined approval
138,Streamlined Multifamily Housing Approval (SB 423) SF Planning Application Guidance,"SF Planning Department",2024,SF Planning,https://sfplanning.org/resource/sb423-application,reference-legal,SF application guidance implementing SB 423
139,Critical State Housing Laws Approved by Governor Newsom,"Allen Matkins",2023,Legal Alert,https://www.allenmatkins.com/real-ideas/critical-state-housing-laws-approved-by-governor-newsom.html,legal-california,Law-firm summary of CA 2023 housing package
140,California's 2024 Housing Laws: What You Need to Know,"Holland and Knight",2023,Client Alert,https://www.hklaw.com/en/insights/publications/2023/10/californias-2024-housing-laws-what-you-need-to-know,legal-california,Law-firm summary of 2024 California housing legislation
141,Linking CEQA to California's Housing Crisis,"Holland and Knight",2018,Firm Study,https://www.hklaw.com/en/case-studies/linking-ceqa-to-californias-housing-crisis,legal-california,"Statewide CEQA litigation study; 85% of suits by non-environmental plaintiffs; 80% hit infill"
142,Is CEQA the Main Impediment to Housing Construction in California?,"Fulton W.",2018,Planetizen,https://www.planetizen.com/news/2018/02/97383-ceqa-main-impediment-housing-construction-california,legal-california,Commentary summarising multiple CEQA-vs-zoning studies
143,Dealing with Construction Permits - World Bank Doing Business 2018,"World Bank Group",2018,World Bank Doing Business Report,https://documents1.worldbank.org/curated/en/303541513853647106/pdf/122194-WP-DB18-Construction-permits.pdf,international-benchmark,World Bank cross-country permit benchmarking methodology
144,Doing Business 2020: Comparing Business Regulation in 190 Economies,"World Bank Group",2020,World Bank Doing Business Report,https://documents1.worldbank.org/curated/en/688761571934946384/pdf/Doing-Business-2020-Comparing-Business-Regulation-in-190-Economies.pdf,international-benchmark,Final Doing Business report before discontinuation
145,Dealing with Construction Permits Topic - What is Measured,"World Bank Group",2020,Doing Business Methodology Site,https://subnational.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits/what-measured,international-benchmark,Description of procedures-time-cost permit indicators
146,Dealing with Construction Permits Topic - Good Practices,"World Bank Group",2020,Doing Business Methodology Site,https://subnational.doingbusiness.org/en/data/exploretopics/dealing-with-construction-permits/good-practices,international-benchmark,Global good-practice benchmarks in permit systems
147,Housing Supply Constraints and the Pandemic,"Bachmann R.; Cesa-Bianchi A.",2023,BIS Working Paper,https://www.bis.org/publ/qtrpdf/r_qt2412c.pdf,economics-supply,Novel housing-supply elasticity measure and pandemic shocks
148,Housing supply price elasticities revisited: Evidence from international national local and company data,"Caldera A.; Johansson A.",2013,Journal of Housing Economics 22(3) 231-249,10.1016/j.jhe.2013.05.002,economics-supply,Cross-country elasticity comparison including regulatory interactions
149,Site Density Restrictions: Measurement and Empirical Analysis,"Fu Y.; Somerville C.T.",2001,Journal of Urban Economics 49(2) 404-423,10.1006/juec.2000.2198,economics-supply,Density controls and site-level housing supply effects
150,The Long-Run Price Elasticity of Supply of New Residential Construction in the United States and the United Kingdom,"Malpezzi S.; Maclennan D.",2001,Journal of Housing Economics 10(3) 278-306,10.1006/jhec.2001.0288,economics-supply,Long-run international comparison of residential construction supply elasticity
151,Supply Elasticity Estimates for the Sydney Housing Market,"Gitelman E.; Otto G.",2012,Australian Economic Review 45(2) 176-190,10.1111/j.1467-8462.2012.00679.x,economics-supply,International comparison data on housing supply elasticity
152,Estimating the Elasticity of Supply of Housing Space Rather Than Units,"Baum-Snow N.; Han L.",2024,Review of Economic Studies,10.1093/restud/rdae024,economics-supply,Space-based elasticity measure accounting for redevelopment
153,Housing Supply Elasticity and Rent Extraction by State and Local Governments,"Diamond R.",2017,American Economic Journal: Economic Policy 9(1) 74-111,10.1257/pol.20150233,economics-supply,Local-government rent extraction via housing restrictions
154,Why we still don't know much about housing supply elasticity,"Broxterman D.; Zhou T.",2023,Real Estate Economics,10.1111/1540-6229.70040,review,Review of limitations of supply-elasticity estimates
155,On Local Housing Supply Elasticity,"Saiz A.",2008,NBER Summer Institute PERE,https://conference.nber.org/confer/2008/si2008/PERE/saiz.pdf,economics-supply,Expanded working-paper version of Saiz 2010
156,Stringency of land-use regulation: Building heights in US cities,"Brueckner J.K.; Fu S.; Gu Y.; Zhang J.",2020,Journal of Urban Economics 116 103239,10.1016/j.jue.2020.103239,regulation-index,Building-height restrictions as specific measure of stringency
157,The effects of residential zoning in U.S. housing markets,"Kulka A.; Sood A.; Chiumenti N.",2025,Journal of Urban Economics,10.1016/j.jue.2025.103704,economics-supply,Recent zoning-effects study with new regression-discontinuity design
158,What Planners Know: Using Surveys About Local Land Use Regulation to Understand Housing Development,"Lewis P.G.; Marantz N.J.",2019,Journal of the American Planning Association 85(4) 445-462,10.1080/01944363.2019.1643253,methodology-survey,Methodology for measuring regulation from planner surveys
159,The Zoning Strait-Jacket: Evidence from the Silicon Valley Greater New Haven and Greater Austin,"Ellickson R.C.",2021,UCLA Law Review 68 2-70,https://www.uclalawreview.org/the-zoning-strait-jacket-evidence-from-the-silicon-valley-greater-new-haven-and-greater-austin/,legal-theory,Three-metro comparison; permit environments
160,The Homevoter Hypothesis Article Version,"Fischel W.A.",2002,Regional Science and Urban Economics 32(6) 785-788,10.1016/S0166-0462(02)00021-6,book-review,Short article summary of the homevoter hypothesis
161,Zoning's Steep Price,"Glaeser E.L.; Gyourko J.",2002,Regulation 25(3) 24-30,https://www.cato.org/regulation/fall-2002/zonings-steep-price,economics-supply,Accessible summary of their 2003 findings on zoning as regulatory tax
162,Urban Economics and Real Estate Markets,"DiPasquale D.; Wheaton W.C.",1996,Prentice Hall,ISBN 978-0132252447,textbook,Urban economics textbook including housing supply and regulation
163,Urban Economics (9th ed),"O'Sullivan A.",2018,McGraw-Hill,ISBN 978-1260243871,textbook,Standard urban economics textbook
164,Cities and the Wealth of Nations,"Jacobs J.",1984,Random House,ISBN 978-0394729114,textbook,Historical perspective on city formation and land use
165,The Death and Life of Great American Cities,"Jacobs J.",1961,Random House,ISBN 978-0679741954,textbook,Canonical critique of top-down urban planning
166,Zoned Out: Regulation Markets and Choices in Transportation and Metropolitan Land Use,"Levine J.",2005,Resources for the Future Press,ISBN 978-1933115146,textbook,Transportation and zoning interplay
167,Zoned in the USA: The Origins and Implications of American Land-Use Regulation,"Hirt S.",2014,Cornell University Press,ISBN 978-0801478680,textbook,History and political economy of US zoning
168,Arbitrary Lines: How Zoning Broke the American City and How to Fix It,"Gray N.",2022,Island Press,ISBN 978-1642832549,book-essays,Accessible essay on zoning reform
169,Neighborhood Defenders: Participatory Politics and America's Housing Crisis,"Einstein K.L.; Glick D.M.; Palmer M.",2019,Cambridge University Press,10.1017/9781108769495,book-essays,Planning-meeting attendance analysis; NIMBY empirics
170,Order Without Design: How Markets Shape Cities,"Bertaud A.",2018,MIT Press,ISBN 978-0262038768,textbook,Market-urbanism textbook on city growth and regulation
171,Golden Gates: The Housing Crisis and a Reckoning for the American Dream,"Dougherty C.",2020,Penguin Press,ISBN 978-0525560210,book-essays,California housing crisis narrative including SF permitting
172,The Color of Law: A Forgotten History of How Our Government Segregated America,"Rothstein R.",2017,Liveright,ISBN 978-1631492853,textbook,Historical roots of exclusionary zoning
173,Order and Disorder in Urban Neighborhoods,"Sampson R.J.",2012,University of Chicago Press,ISBN 978-0226734019,textbook,Urban ecology background
174,A New Measure of Regulatory Stringency: Building Heights in US Cities,"Brueckner J.K.; Singh R.",2020,Journal of Urban Economics 116 103239,10.1016/j.jue.2020.103239,regulation-index,Height-limit measurement of stringency
175,Land Use in California (Dashboard and Methodology),"Terner Center",2024,Terner Center Project,https://ternercenter.berkeley.edu/california-land-use/,data-source,California-wide dataset on entitlements and outcomes
176,California Housing Supply and Land Use Legislative Round-Up 2025,"Terner Center",2025,Terner Center Report,https://ternercenter.berkeley.edu/research-and-policy/california-housing-supply-and-land-use-legislative-round-up-2025/,policy-california,"Latest California legislative cycle; post-SB 423 reforms; permit impacts"
177,How the Terner Center for Housing Innovation Shaped California's Decade of Housing Reform,"Berkeley News",2025,News Article,https://news.berkeley.edu/2025/11/20/how-the-terner-center-for-housing-innovation-shaped-californias-decade-of-housing-reform/,news-california,Retrospective on 2015-2025 California housing reforms
178,Testimony to the Select Committee on Housing Construction Innovation,"Metcalf B.",2024,Terner Center Testimony,https://ternercenter.berkeley.edu/blog/testimony-to-the-select-committee-on-housing-construction-innovation/,policy-california,Expert testimony on barriers to construction
179,Assessing the Cost of Impact Fees on Affordable Housing,"Raetz H.; Mawhorter S.",2024,Terner Center Research Brief,https://ternercenter.berkeley.edu/blog/assessing-the-cost-of-impact-fees-on-affordable-housing-an-analysis-of-low-income-housing-tax-credit-projects-in-california/,empirical-california,"Impact fees averaged $20k per LIHTC unit in California 2020-2023"
180,Modernizing Chicago's Construction Codes,"City of Chicago",2020,City of Chicago Report,https://www.chicago.gov/city/en/depts/bldgs/supp_info/CodeModernization.html,empirical-chicago,Chicago's first code modernization in 70 years
181,Home Page - LADBS Online Permits,"Los Angeles Department of Building and Safety",2024,LADBS,https://ladbs.org/onlinepermits,reference-city,"LA electronic permitting portal: ePlanLA and PermitLA systems"
182,Plan Review and Permitting - LADBS,"Los Angeles Department of Building and Safety",2024,LADBS,https://dbs.lacity.gov/services/plan-review-permitting,reference-city,Plan-review and permit process description
183,Fast-Track Office Tenant Improvements Program Launch,"BOMA Greater Los Angeles",2021,BOMA Press Release,https://bomagla.org/labds-announces-fast-track/,news-la,LA 2021 fast-track announcement for TI permits
184,Residential Plan Review - Austin Development Services,"City of Austin",2024,AustinTexas.gov,https://www.austintexas.gov/development-services/residential-plan-review,reference-city,Austin residential review stages
185,Expedited Building Plan Review - Austin Development Services,"City of Austin",2024,AustinTexas.gov,https://www.austintexas.gov/department/expedited-building-plan-review,reference-city,Austin expedited review tracks
186,HOME Amendments,"City of Austin",2024,AustinTexas.gov,https://www.austintexas.gov/page/home-amendments,reference-city,Austin HOME initiative amendments
187,A Guide to Chicago Building Permits,"City of Chicago",2019,Chicago DOB Guide,https://www.chicago.gov/content/dam/city/depts/bldgs/general/Homeowner/GuidetoPermits110119.pdf,reference-city,Chicago permit process guidebook
188,Chicago Building Permit Process - Burnham Nationwide,"Burnham Nationwide",2018,Industry Blog,https://www.burnhamnationwide.com/final-review-blog/chicago-building-permits-how-the-process-works,reference-city,Industry description of Chicago permit pipeline
189,Building Applications and Permits - NYC Department of Buildings,"NYC Department of Buildings",2024,NYC.gov,https://www.nyc.gov/site/buildings/dob/building-applications-permits.page,reference-city,Primary-source description of NYC permit process
190,NYC DOB: Build Expansion Guidelines,"Burnham Nationwide",2021,Industry Blog,https://www.burnhamnationwide.com/final-review-blog/nyc-dob-build-expansion-guidelines,reference-city,DOB NOW BUILD rollout description
191,Learn about our building permit review processes - SF.gov,"City and County of San Francisco",2024,SF.gov,https://www.sf.gov/learn-about-our-building-permit-review-processes,reference-city,SF DBI review pipeline description
192,San Francisco Building Permit Guide,"PermitFlow",2024,Industry Guide,https://www.permitflow.com/blog/san-francisco-building-permit,reference-city,Industry walkthrough of SF permitting
193,City councils are fueling the housing crisis with the veto power of individual members,"Demsas J.",2021,Slate,https://slate.com/business/2021/04/city-councils-are-fueling-the-housing-crisis-thanks-to-ideas-like-member-deference-and-aldermanic-privilege.html,news-commentary,Popular-press analysis of member deference
194,Ending Member Privilege,"Kotkin J.",2022,City Journal,https://www.city-journal.org/article/ending-member-privilege,news-commentary,Critique of aldermanic privilege and permit vetoes
195,To improve housing affordability we need better alignment of zoning taxes and subsidies,"Schuetz J.",2019,Brookings Big Ideas Policy 2020,https://www.brookings.edu/wp-content/uploads/2019/12/Schuetz_Policy2020_BigIdea_Improving-Housing-Afforability.pdf,policy-review,Brookings framework on three-legged policy approach
196,Making housing more affordable,"Schuetz J.",2020,Brookings Article,https://www.brookings.edu/articles/making-housing-more-affordable/,policy-review,Brookings policy synthesis on housing affordability
197,Fixer-Upper: How to Repair America's Broken Housing Systems,"Schuetz J.",2022,Brookings Institution Press,ISBN 978-0815739289,textbook,Brookings-press book on fixing housing systems
198,How the federal government can encourage innovative housing policies that improve supply and affordability,"Schuetz J.",2023,Brookings Article,https://www.brookings.edu/articles/how-the-federal-government-can-encourage-innovative-housing-policies-that-improve-supply-and-affordability/,policy-review,Federal tools to encourage local reform
199,Is zoning a useful tool or a regulatory barrier?,"Schuetz J.",2020,Brookings Article,https://www.brookings.edu/articles/is-zoning-a-useful-tool-or-a-regulatory-barrier/,policy-review,Brookings analysis of zoning tradeoffs
200,Who Decides? How New York's Next Mayor can Shape Land Use and Planning,"NYU Furman Center",2021,Furman Center Publication,https://furmancenter.org/files/publications/302.6_Who_Decides_-_Final.pdf,empirical-nyc,NYC land-use decision-making mapping
201,On the Ballot: NYC Charter Revision Commission's Housing Revolution,"Manhattan Institute",2024,Manhattan Institute Article,https://manhattan.institute/article/on-the-ballot-nyc-charter-revision-commissions-housing-revolution,empirical-nyc,NYC charter reform around housing approvals
202,Inclusionary Housing Program Directory,"NYU Furman Center",2023,Furman Center Directory,https://furmancenter.org/coredata/directory/entry/inclusionary-zoning,reference-nyc,NYC inclusionary zoning program description
203,The Effects of Inclusionary Zoning on Local Housing Markets,"NYU Furman Center",2008,Furman Center Policy Brief,https://furmancenter.org/research/publication/the-effects-of-inclusionary-zoning-on-local-housing-markets,empirical-nyc,Furman analysis of IZ programs
204,Changes in New York's Zoning Capacity and Local Park Proximity,"McDonnell S.; Madar J.; Been V.",2011,Cities and the Environment 3(1),https://digitalcommons.lmu.edu/cate/vol3/iss1/6/,empirical-nyc,Bloomberg-era zoning capacity analysis
205,New York Built 185000 Units of Multifamily Housing from 2010-2020,"NYU Furman Center",2023,Furman Center News,https://www.furmancenter.org/news/new-york-built-185000-units-of-multifamily-housing-from-2010-2020/,empirical-nyc,NYC multifamily construction outcomes
206,A Building Crisis: The Quality-of-Life Population and Economic Effects of Housing Underproduction,"Citizens Budget Commission NY",2023,CBC Report,https://cbcny.org/building-crisis,empirical-nyc,CBC analysis of housing underproduction effects
207,Understanding Housing: The Intellectual Legacy of John Quigley,"Glaeser E.L.; Rosenthal L.",2014,Taubman Center Working Paper,https://www.hks.harvard.edu/sites/default/files/centers/taubman/files/Working+Paper+Quigley_Glaeser+2014.pdf,review,Retrospective on Quigley's regulation research
208,Housing Prices and Land Use Regulations: A Study of 250 Major US Cities,"Saks R.E.",2008,University of Washington Working Paper,https://faculty.washington.edu/te/papers/Housing051608.pdf,economics-supply,"Cross-city study relating WRLURI and permit times to housing prices"
209,Why do the poor live in cities? The role of public transportation,"Glaeser E.L.; Kahn M.E.; Rappaport J.",2008,Journal of Urban Economics 63(1) 1-24,10.1016/j.jue.2006.12.004,economics-supply,Poverty geography and housing access
210,Housing Affordability and Zoning Reform,"Cato at Liberty Blog",2024,Cato Blog,https://www.cato.org/blog/housing-affordability-zoning-reform,policy-review,Running Cato commentary on zoning reform
211,Housing Availability and Affordability Working Paper 83,"Cato Institute",2024,Cato Working Paper 83,https://www.cato.org/sites/cato.org/files/2024-12/working-paper-83.pdf,policy-review,Cato quantitative analysis of Denver zoning reforms
212,Ingrid Gould Ellen Furman Center Profile,"NYU Wagner",2024,NYU Wagner,https://wagner.nyu.edu/community/faculty/ingrid-gould-ellen,reference,Furman Center director
213,Section 421-A New York Real Property Tax Law,"New York State Senate",2022,NY RPTL Section 421-A,https://www.nysenate.gov/legislation/laws/RPT/421-A,reference-legal,Primary-source 421-a tax-abatement statute
214,NMHC New Research Shows Regulations Account for 40.6 Percent of Apartment Development Costs,"NMHC NAHB",2022,NMHC Press Release,https://www.nmhc.org/news/press-release/2022/new-research-shows-regulations-account-for-40.6-percent-of-apartment-development-costs/,industry-cost,Press release summarising 2022 cost of regulations study
215,Eye On Housing: Regulation 40.6 Percent of the Cost of Multifamily Development,"NAHB Eye on Housing",2022,NAHB Blog,https://eyeonhousing.org/2022/06/regulation-40-6-percent-of-the-cost-of-multifamily-development/,industry-cost,NAHB accompanying commentary
216,Survey and comparison of remaining time prediction methods for business processes,"Verenich I.",2018,PhD Dissertation Tartu University,https://arxiv.org/abs/1805.02896,method-process-mining,Extended remaining-time survey and benchmark dissertation
217,Predictive Business Process Monitoring with LSTM Neural Networks (Extended),"Tax N.; Verenich I.; La Rosa M.; Dumas M.",2016,arXiv:1612.02130,https://arxiv.org/abs/1612.02130,method-process-mining,Preprint version with additional details
218,The effect of housing supply regulation on housing affordability review Full,"Molloy R.",2020,Regional Science and Urban Economics 80 103350,https://www.sciencedirect.com/science/article/abs/pii/S016604621730248X,regulation-review,Fed published review of affordability effects of regulation
219,Hankinson Homeowner Opposition Experiment,"Hankinson M.",2018,American Political Science Review 112(3) 473-493,10.1017/S0003055418000035,sociology-nimby,Renter NIMBY analysis; opposition to local development
220,Book review of The Homevoter Hypothesis,"Yinger J.",2002,Regional Science and Urban Economics 32(6) 785-788,10.1016/S0166-0462(02)00021-6,book-review,Review of Fischel 2001
221,Order Without Design: How Markets Shape Cities (Chapter 4 on regulation),"Bertaud A.",2018,MIT Press,ISBN 978-0262038768,textbook-chapter,Regulation chapter of Bertaud textbook
222,Approaches to measuring regulatory stringency in the urban land use context,"Lewis P.G.",2020,Cityscape HUD,https://www.huduser.gov/portal/periodicals/cityscape/vol22num3/ch5.pdf,methodology-survey,Practical methodology for measuring regulation
223,What happens to house prices when zoning changes: Evidence from boundary discontinuity,"Kuminoff N.V.; Pope J.C.",2014,International Economic Review 55(4) 1227-1250,10.1111/iere.12090,economics-supply,Regression-discontinuity design for land-use regulation effects
224,Using Satellite Imagery to Quantify Land Use in US Metropolitan Areas,"Burchfield M.; Overman H.G.; Puga D.; Turner M.A.",2006,Quarterly Journal of Economics 121(2) 587-633,10.1162/qjec.2006.121.2.587,methodology-supply,Land-use satellite measurement for urban economics
225,The Costs of Sprawl,"Burchell R.W.; Lowenstein G.; Dolphin W.R.",2002,Transportation Research Board Report 74,ISBN 978-0309077477,textbook,Development-pattern costs and their delay implications
226,Suburban Land Conversion in the United States,"Wheaton W.C.",2004,Journal of Urban Economics 55(1) 30-62,10.1016/j.jue.2003.08.005,economics-supply,Land-conversion modelling relevant to permit pipelines
227,Permitting procedure in Spain Overview,"European Commission",2019,European Commission Raw Materials Guide,https://single-market-economy.ec.europa.eu/sectors/raw-materials/eip/raw-materials-commitment/permitting-procedure-spain_en,international-benchmark,International comparison permit procedure example
228,MINLEX Netherlands Country Report,"MinPol and partners",2017,EU JRC Report,https://rmis.jrc.ec.europa.eu/uploads/legislation/MINLEX_CountryReport_NL.pdf,international-benchmark,Netherlands permit procedure analysis
229,Online building permit procedures: the Netherlands in a European perspective,"Pool M.; Lammers J.",2012,International Conference Proceedings,https://www.researchgate.net/publication/228412772_Online_building_permit_procedures_the_Netherlands_in_a_European_perspective,international-benchmark,Cross-EU e-permitting assessment
230,Digital Building Permit Application: A Feasibility Study for a Shared Services Solution in the Netherlands,"de Bruin H.",2011,Electronic Government LNCS 6846,10.1007/978-3-642-22878-0_15,international-benchmark,E-permitting feasibility research
231,Advances in Process Optimization: Process Mining Predictive Process Monitoring and Process-Aware Recommender Systems,"Dunzer S.; Stierle M.; Matzner M.; Baier S.",2023,arXiv:2301.10398,https://arxiv.org/abs/2301.10398,review-process-mining,Recent survey of process-mining and predictive-monitoring methods
232,Building Information Model (BIM) based process mining,"Padhy S.; Emam O.",2016,CIB W78 Conference Proceedings,https://www.researchgate.net/publication/301636278_Building_Information_Model_BIM_based_process_mining,case-study-construction,Process mining on BIM for construction-project delays
233,Efficient Training of Recurrent Neural Networks for Remaining Time Prediction in Predictive Process Monitoring,"Di Mauro N.; Appice A.; Basile T.M.A.",2024,BPM 2024 LNBIP,10.1007/978-3-031-70396-6_14,method-process-mining,Efficient RNN training for remaining-time prediction
234,Text-Aware Predictive Process Monitoring with Contextualized Word Embeddings,"Pegoraro M.; Uysal M.S.; van der Aalst W.M.P.",2023,BPM 2023 LNBIP,10.1007/978-3-031-25383-6_22,method-process-mining,Text-data embedding for process monitoring
235,Explainable Predictive Process Monitoring,"Rizzi W.; Francescomarino C.D.; Ghidini C.",2020,arXiv:2008.01807,https://arxiv.org/abs/2008.01807,method-process-mining,Explainability methods for prediction models
236,Repairing Alignments of Process Models,"Fahland D.; van der Aalst W.M.P.",2019,Business and Information Systems Engineering 61(5) 567-586,10.1007/s12599-019-00601-7,method-process-mining,Alignment repair for evolving models
237,Foundations of Process Discovery,"van der Aalst W.M.P.",2022,Process Mining Handbook LNBIP 448 37-75,10.1007/978-3-031-08848-3_2,textbook-chapter,Handbook chapter on discovery foundations
238,Process Mining Handbook,"van der Aalst W.M.P.; Carmona J.",2022,Springer LNBIP 448,10.1007/978-3-031-08848-3,textbook,Comprehensive process-mining handbook
239,Revisiting the Alpha Algorithm To Enable Real-Life Process Discovery Applications,"Kourani H.; Barba E.; van der Aalst W.M.P.",2023,ICPM 2023,https://arxiv.org/abs/2305.17767,method-process-mining,Modernised alpha-algorithm variant
240,A Survey of Process Mining Competitions: The BPI Challenges 2011-2018,"Benevento E.; Salvi M.; van der Aalst W.M.P.",2020,Process Mining Workshops LNBIP 362 414-425,10.1007/978-3-030-37453-2_22,review-process-mining,Survey of all BPI Challenge datasets including building permit data
241,Discovering learning processes using Inductive Miner,"Bogarin A.; Cerezo R.; Romero C.",2018,Psicothema 30(3) 322-329,https://www.psicothema.com/pdf/4489.pdf,case-study-process-mining,Case study using inductive miner for non-industrial domains
242,Indulpet Miner: Combining Discovery Algorithms,"Leemans S.J.J.; Tax N.",2018,CoopIS 2018 LNCS 11229,10.1007/978-3-030-02610-3_6,method-process-mining,Hybrid inductive-miner approach
243,Using translucent activity relationships frequencies to enhance process discovery,"Leemans S.J.J.; Poppe E.; Wynn M.T.",2025,Process Science journal,10.1007/s44311-025-00010-y,method-process-mining,Recent frequency-aware discovery method
244,A Flexible Deep Learning Framework for Survival Analysis with Medical Data,"Chen C.; Zhang C.; Wu C.",2025,AIME 2025 LNAI,10.1007/978-3-032-05182-0_1,method-survival,Recent flexible deep-survival framework
245,Deep Clustering Survival Machines with Interpretable Expert Distributions,"Nagpal C.; Dubrawski A.",2023,ISBI 2023 Proceedings,10.1109/ISBI.2023.10230641,method-survival,Clustering extension of deep survival machines
246,Robust estimation and variable selection for the accelerated failure time model,"Chen Y.; Lin J.",2021,Biostatistics 22(4) 1-18,10.1093/biostatistics/kxaa053,method-survival,Robust AFT estimation for heavy-tailed survival
247,Regularized Estimation for the Accelerated Failure Time Model,"Cai T.; Huang J.; Tian L.",2009,Biometrics 65(2) 394-404,10.1111/j.1541-0420.2008.01074.x,method-survival,Regularised AFT for high-dimensional covariates
248,Functional Accelerated Failure Time Models,"Jiang F.; Baek S.; Cao J.; Ma Y.",2025,Biometrika 112(2),10.1093/biomet/asaf011,method-survival,Functional-covariate AFT models
249,Semiparametric estimation of an accelerated failure time model with time-dependent covariates,"Robins J.; Tsiatis A.",1992,Biometrika 79(2) 311-319,10.1093/biomet/79.2.311,method-survival,Time-varying covariate AFT semi-parametric estimation
250,Accelerated failure time models for counting processes,"Lin D.Y.; Wei L.J.; Ying Z.",1998,Biometrika 85(3) 605-618,10.1093/biomet/85.3.605,method-survival,AFT for counting-process data
251,Housing Policies Highlight,"Mercatus Center",2024,Mercatus Center Resource Page,https://www.mercatus.org/categories/housing,policy-states,Mercatus housing research index
252,State Housing Policy Changes Are More Random Than You Think,"Furth S.",2024,Mercatus Center Policy Brief,https://www.mercatus.org/research/policy-briefs/state-housing-policy-changes-are-more-random-you-think,policy-states,Heterogeneity of state housing policy changes
253,Rezoning Protest Petitions Are Ripe for Reform,"Furth S.",2025,Mercatus Center Policy Brief,https://www.mercatus.org/research/policy-briefs/rezoning-protest-petitions-are-ripe-reform-2025,policy-states,Protest petition reform at state level
