id,authors,year,title,journal,theme,relevance,notes
193,FY2023 IAA,2023,Intelligence Authorization Act UAP provisions,US Congress,government_transparency,8,Expanded AARO reporting requirements; congressional oversight
194,50 USC 3373,2023,US Code on UAP reporting and investigation,US Code,government_transparency,8,Statutory basis for annual UAP reports; AARO authorities
195,50 USC 3373b,2023,Authorized Reporting Mechanism for UAP,US Code,government_transparency,7,Legal basis for secure UAP reporting by current/former USG employees
196,50 USC 3733,2023,AARO Duties and Authorities,US Code,government_transparency,7,Statutory mandate for AARO operations and partner engagement
197,Callahan E.,2024,Analysis of UAP legislative history and impact,Congressional Quarterly,congressional_hearings,5,Legislative analysis of UAP provisions across multiple NDAAs
198,Stratton G.,2024,Former UAPTF Director Remarks,Various,institutional_history,5,Pre-AARO investigation context; transition challenges
199,Shell Aerospace,2023,Aerospace Industry Perspectives on UAP,Various,sensor_fusion,5,Industry perspective on detection and identification challenges
200,UFO-1 Project,2024,NUFORC Pattern Analysis: 147890 Reports,HDR Autoresearch,base_rate_analysis,10,Predecessor project; internet adoption correlation r=0.91; Starlink ITS effect; shape evolution
201,Haines R.,2017,NARCAP Technical Report on UAP Aviation Safety,NARCAP,sensor_fusion,6,Aviation safety analysis of UAP encounters; pilot report database
202,Sparks B.,2019,Updated Blue Book Unknowns Analysis with Quality Ratings,Various,prior_programs,7,Case quality assessment; re-evaluated unexplained percentage
203,Turner S.,1975,Former CIA Director testimony on UFOs,Senate,institutional_history,5,Historical IC perspective on UFO investigation priority
204,Inouye D.,1988,Senate committee investigations of intelligence programs,US Senate,institutional_history,4,Context for hidden programs and oversight challenges
205,Haynes J.,2024,CIA Historical Review of UFO Investigation,CIA Studies,institutional_history,6,CIA's role in UFO investigations from 1940s-present
